"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39","Sample40","Sample41","Sample42","Sample43","Sample44","Sample45","Sample46","Sample47","Sample48","Sample49","Sample50","Sample51","Sample52","Sample53","Sample54","Sample55","Sample56","Sample57","Sample58","Sample59","Sample60","Sample61","Sample62","Sample63","Sample64","Sample65","Sample66","Sample67","Sample68","Sample69","Sample70","Sample71","Sample72","Sample73","Sample74","Sample75","Sample76","Sample77","Sample78","Sample79","Sample80","Sample81","Sample82","Sample83","Sample84","Sample85","Sample86","Sample87","Sample88","Sample89","Sample90","Sample91","Sample92","Sample93","Sample94","Sample95","Sample96","Sample97","Sample98","Sample99","Sample100"
"Feature62",0,65,72,2,0,98,548,94,23,0,35,1,551,184,85,82,0,17,4,319,21,49,0,1981,0,59,186,0,0,106,17,49,0,0,0,0,0,322,27,535,7855,30,6,690,24,49,13,0,13,8,2,130,11,20,564,0,518,25,102,1839,26,102,1100,60,2,31,1,20,0,153,5,27,120,81,53,60,0,0,0,0,1035,0,5,410,7,8,12,0,0,349,4,105,3,1,783,0,8,0,0,5
"Feature63",124,2,0,0,69,0,0,0,0,0,0,1,0,3,37,0,0,0,27,0,9,2,1,5714,0,0,0,0,0,27,69,36,8,4,2,0,0,7,0,0,0,0,55,428,0,26,2,0,0,0,45,0,24,0,0,0,0,2,201,4,0,0,874,0,16,119,0,9,0,0,0,9,0,22,0,49,0,0,5,0,65,18,3,125,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
"Feature64",57,329,7,8,3,64,1997,1,191,7,13,0,28,1,39,35,0,0,62,175,439,192,1,224,0,57,82,4,0,30,11,9,0,13,0,28,2,23,87,50,33,0,3,2837,5,1411,14,1,0,1,94,0,8,6,162,2,132,0,0,9,5,106,43,8,79,46,1,0,84,0,33,0,22,1391,10,10,0,0,1,144,38,0,0,262,18,1,1,135,0,3,3,10,1,0,7,3,28,62,1,7
"Feature65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature66",0,3,1,0,2,0,379,14,424,4,6,0,0,40,0,0,3,0,14,0,30,0,2,103,0,41,0,0,0,19,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,35,50,278,0,0,0,3,0,0,1,0,0,130,60,0,0,0,0,25,0,0,8,73,23,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
"Feature67",25583,14820,13,31,5,81355,27914,4120,15134,9157,10865,2772,184,1479,1170,167,40899,77,200,18285,823,3594,130,2856,1496,969,580,248,25313,23940,1432,2903,1788,7723,283,25061,18,1354,4691,928,236,504,787,65544,4767,63573,22298,13373,10248,1310,2144,23927,15387,698,2309,176,78450,1598,72,6659,22013,676,7846,3350,833,16616,111,1961,503,6848,39889,836,16313,5187,233,33698,31,29010,595,58212,13054,2353,5681,3160,146,239,64,9564,1665,257,29711,6979,4549,9517,34778,16,4427,3217,206,3225
"Feature68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4183,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Feature74",49,4,1,0,17,19,32,0,12163,0,853,0,3,1246,25,0,6,6,0,23,71,7,140,144,135,870,1824,17,2,75,278,0,45,0,17,31,0,21,4,9,55,0,29,373,2,0,0,3,98,2,0,0,88,4,25,0,462,0,0,13,436,0,415,4,8,2595,46,10,0,5,343,158,50,580,573,3388,0,14,108,47,177,6,9,0,155,44,28,4,0,54,63,5,103,0,34,11,67,13,9,2
"Feature75",1,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,517,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1947,0,8,0,0,192,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature78",0,0,0,0,4,0,0,0,0,0,0,0,23,0,0,0,0,0,0,62,11,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"Feature79",18,1,0,0,1,552,24,0,0,0,58,0,168,13,0,0,0,1,15,0,0,1,0,0,22,326,0,10,0,99,0,341,3,18,0,126,1,12,0,0,0,0,31,0,0,6,0,0,186,0,0,2,0,0,0,0,0,0,2,0,10,0,130,0,0,174,2,0,0,0,25,9,0,27,0,0,0,0,0,109,2,4,0,0,40,0,0,0,0,72,21,24,0,0,37,14,31,0,2,0
"Feature80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature83",0,0,69,0,0,87,175,0,7,1,62,0,181,0,0,0,0,0,79,0,0,6,0,109,25,254,7,3,1,0,4857,138,0,4,21,0,0,17,3,0,4,0,29,864,0,0,8,0,0,1,26,3,0,0,141,10,0,50,0,0,0,0,28,1,7,0,0,21,0,0,0,9,0,0,1,0,0,60,48,16,23,0,0,904,0,66,0,271,0,5,0,1,48,4,0,3,0,13,0,0
"Feature84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature85",0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Feature86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature87",0,0,0,0,0,0,25,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature88",115,17,0,9,113,797,203,122,0,11,111,15,122,147,31,226,194,19,5,98,95,5,3,192,12,107,7,7,0,132,1155,958,22,35,8,28,4,214,83,37,2,0,0,1522,40,388,38,1,201,7,30,168,128,5,36,96,316,32,13,11,0,336,0,0,3,184,7,14,18,10,34,240,0,17,0,88,0,127,13,167,10,5,317,590,731,53,2,61,0,372,122,0,40,0,237,2,643,10,22,101
"Feature89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature91",0,0,0,31048,0,0,20533,0,0,0,0,0,209153,5265,0,7416,0,54086,0,0,0,184,0,12182,136,0,0,0,0,0,6848,0,6008,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,7866,0,0,140,674,0,0,2075,0,0,0,0,0,0,0,0,10746,0,0,0,0,14,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,10,0,16236,25923,0,0,0
"Feature92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature93",4,0,0,0,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,21,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"Feature94",102,6,0,2,0,324,79,38,23,0,69,6,21,3,2,18,0,3,84,147,6,0,1,53,9,0,3,0,0,5,100,0,16,0,2,7,0,50,302,13,5,0,8,0,4,115,0,2,133,0,1,251,0,0,26,8,504,166,13,26,0,45,0,90,27,40,8,4,51,0,6,11,0,13,2,14,0,1,0,54,0,93,4,378,19,8,3,63,0,69,2,3,0,0,39,0,16,0,0,0
"Feature95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Feature96",0,0,0,5,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0
"Feature97",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature98",0,0,0,1168,1,0,14903,2898,0,7,52,0,0,192,0,0,38,4901,11102,264,0,0,12,606,27,0,11,0,0,22771,1,4216,0,5,85666,5423,0,20,0,0,132,48,10608,0,0,0,0,0,0,0,35589,0,0,4081,15,0,2138,0,136,0,797,161,0,5,0,0,0,157,0,0,59830,3021,1,25884,13,0,0,14037,47,0,0,60186,8288,2807,5,77,1131,95137,0,1819,15,0,63828,2,9817,0,1325,801,677,72389
"Feature99",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature100",0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,8,0
"Feature101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Feature102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature104",0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature106",0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,4,0,0,0,30,4,0,0,39,0,0,0,0,0,0,0,0,0,9,0,7,1,0,0,0,0,0,0,0,3,3,0,0,0,0,5,1,0,0,2,0,51,0,0,0,0,0,0,0,0,33,0,0,5,0,0,22,4,3,0,0,0,34,0,0,1,0,0,0,0,0,0,29,0,0,1,0,0,0,7,0,0,0,0,0
"Feature107",38,54,21,0,0,0,11648,0,0,3,9741,0,2602,0,1994,1688,0,0,0,0,0,0,31514,1331,267,5793,7,25,1,0,291,5734,0,1682,96,0,41,0,0,172,78,493,658,1194,0,0,101,0,0,0,86,0,448,229,1526,0,13234,48,4,121,1858,0,9,8313,28,4218,64,9,127,0,47,2052,0,1437,0,153,0,144,0,20159,0,2638,154,0,66,10250,0,0,2,0,10,0,748,10,0,0,0,22,11816,42
"Feature108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,6873,0,0,0,4266,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,6406,0,0,0,0,0,0,3946,0,0,0,644,0,0,0,20890,0,0,0,0,0
"Feature110",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,3,0,589,0,0,0,0,0,0,3248,748,0,0,0,0,0,0,0,0,0,20144,0,0,0,43,0,0,0,0,97,0,15961,31,0,103,0,0,0,0,15,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,878,0,0,0,0,0,0,0,0,0,0
"Feature111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature112",1,4,0,0,0,345,203,0,2908,0,0,0,891,29,0,359,11,0,82,1217,10,13,0,0,27,22,60,2,0,308,0,32,1,27,0,72,2,0,10,0,0,0,0,281,19,159,118,10,57,25,4,722,47,0,0,56,62,0,0,5,1,13,0,12,16,216,47,11,143,16,626,139,770,0,8,73,0,0,5,120,10,46,65,15,0,99,51,291,0,29,0,34,12,2,55,1,212,25,18,16
"Feature113",37,5,2,0,79,50,607,17,0,74,7,0,13,2,308,1,0,2,0,550,68,7,0,49,3,250,3,0,18,21,675,914,19,41,1,84,0,33,0,46,7,0,9,4872,1,0,0,0,460,2,68,125,93,71,2,3,342,0,0,6,0,19,1184,133,41,11,0,12,81,106,64,230,146,43,0,155,0,1159,449,4,194,4,0,0,3,13,5,0,2,79,12,692,191,0,189,0,0,1,77,0
"Feature114",348,933,27,1238,0,107204,2886,0,3258,2,162,112,3900,1538,6,23187,219,39,0,247,0,235,2640,46287,55,42506,1913,222,21,299,0,10109,4146,3285,24,26,6,196,1147,0,0,0,794,0,611,1876,793,22,5274,11,0,65,0,14,0,0,5908,12,826,872,2429,602,2631,796,0,0,0,0,426,216,28,67,451,1818,0,0,0,0,3,126,10261,7999,11641,4510,0,51,17,349,27,0,15,1917,27,2,1,0,382,28,1417,0
"Feature115",4,49,0,3,0,2086,271,5,157,0,0,19,9,1474,18,381,9,2,0,59,0,0,0,0,0,37,3,1,1,0,15,0,51,0,1,0,3,0,32,0,1,0,0,22,0,50,0,0,0,0,20,0,0,1,436,0,0,54,108,0,0,50,1059,392,0,0,5,0,186,0,0,117,2549,0,1,0,0,149,76,0,64,0,0,392,71,0,52,6,0,0,0,0,5,0,0,0,0,0,0,0
"Feature116",639,66,0,668,40,33789,614,0,0,21,245,0,0,0,0,35708,1637,889,2914,0,77,808,0,1055,0,17,1605,55,0,0,465,242,72,0,0,2052,6,1095,685,1235,0,174,47,400,38026,0,11573,3,212,0,747,601,0,0,0,0,0,3,823,0,446,11,0,80,14502,9815,60,1,67,3304,5349,85,0,5747,7,295,2,226,2,0,0,167,163,6747,0,436,301,0,0,0,0,466,0,8,1553,0,307,39,0,0
"Feature117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature118",0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,4389,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Feature121",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature122",0,9,0,0,0,362,0,0,533,54,13,33,0,150,187,0,0,0,0,160,0,524,0,756,0,442,0,0,5,83,0,2584,33,0,3,114,0,22,0,0,0,0,0,384,1,22,0,0,0,26,14,0,40,0,24,0,831,25,0,6,0,0,474,1124,3,94,19,27,968,399,0,1217,551,416,34,626,1,447,48,200,0,35,0,1097,0,0,8,0,1,142,57,36,20,5,0,62,263,15,15,8
"Feature123",7,2,0,2,0,44,0,0,0,0,24,0,3,0,0,26,0,0,3,0,0,32,0,0,0,24,4,1,0,0,21,2,4,4,0,7,0,4,0,8,0,3,1,8,0,24,1,0,8,0,3,14,2,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,9,0,19,23,4,0,0,52,0,0,6,0,1,0,0,0,14,0,0,2
"Feature124",0,0,0,0,11,233,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17327,0,0,0,0,0,0,0
"Feature125",9,0,1,0,0,0,0,7,0,0,0,5,8,0,8,0,0,1,0,0,1,0,0,2,3,44,0,0,0,1,19,9,106,0,0,33,0,0,16,75,69,0,11,71,28,98,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,22,0,2,11,0,0,0,0,33,0,0,0,3,1,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,22,0,17,0,0,0
